,name,fulladdr,municipality,agency,agencytype,phone,agencyurl,operhours,Instructions,status,drive_through,appt_only,referral_required,services_offered_onsite,call_first,virtual_screening,health_dept_url,State,county,type_of_test,facility_type
6230,Cape Fear Valley - Highsmith - Rainey Express Care,150 Robeson St.,Fayetteville,Cape Fear Valley Health,Private,(910) 615-1220,http://www.capefearvalley.com/coronavirus/index.aspx,,Call for a screening & appointment,Open,,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Cumberland,molecular,Urgent Care
6231,Cape Fear Valley Hospital,1638 Owen Dr.,Fayetteville,,Private,910-615-4000,http://www.capefearvalley.com/coronavirus/index.aspx,,Pre-screening available online,Open,,Yes,,screening and testing,Yes,Available,https://covid19.ncdhhs.gov/,NC,Cumberland,molecular,Hospital
6232,Cumberland County Health Department,1235 Ramsey St.,Fayetteville,,Municipal,910-433-3700,,Thursdays Only 9 am to 4 pm,Fill out the assessment form online for an appointment.,Open,Yes,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Cumberland,molecular,Public Health Department
6233,Cumberland CountyDepartment of Public Health - Manna Church,5117 Cliffdale Road,Fayetteville,,Non Profit,910-433-3700,http://www.co.cumberland.nc.us/departments/public-health-group/public-health/testing-and-collection-sites,Tuesdays and Wednesdays from 9 a.m. to 4 p.m,"Follow this link to complete the online assessment tool on your computer, smart phone or tablet:",Open,Yes,Yes,No,screening and testing,Yes,Required,https://covid19.ncdhhs.gov/,NC,Cumberland,molecular,Non-medical Facility
6234,"Ernesto Graham MD, PA Obstetric's & Gynecology",1521 Owen Park Lane,Fayetteville,,Private,910-223-7420,https://egrahamobgynlaserspa.com/,,Call the office for information,Open,,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Cumberland,not specified,Clinic
6235,Fayetteville VA Coastal Health Care System,2300 Ramsey St.,Fayetteville,,VA,910-488-2120,https://www.fayettevillenc.va.gov/,,Call for instructions & appointment,Open,,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Cumberland,molecular,Hospital
6236,Ft. Bragg/Womack Army Medical Center,2817 Reilly Road,Fayetteville,,Federal,910-907-2778,https://tricare.mil/mtf/Womack/Health-Services/M_S/Fort-Bragg-Department-of-Public-Health/COVID-19,9:00 a.m. to 2:30 p.m. 7-days a week,,Open,Yes,Yes,No,screening and testing,,No,https://covid19.ncdhhs.gov/,NC,Cumberland,molecular,Outdoor
6237,Wade Family Medical Center - Wade,7118 Main St,Wade,"Stedman-Wade Health Services, Inc.",Private,910-483-6694,https://www.swhs-nc.org/,Monday – Thursday 8am - 5pm  Friday 8am - 12pm,Call the office for an appointment,Open,,Yes,,screening and testing,Yes,Required,https://covid19.ncdhhs.gov/,NC,Cumberland,molecular,Medical Center
6238,Wase Family Medical Center Fayetteville,2313 Murchison Rd,Fayetteville,"Stedman-Wade Health Services, Inc.",Private,910-488-4525,https://www.swhs-nc.org/,Monday – Thursday 8am - 5pm  Friday 8am - 12pm,Testing for Stedman Wade patients only. Call for an appointment,Open,,Yes,,screening and testing,Yes,Required,https://covid19.ncdhhs.gov/,NC,Cumberland,molecular,Clinic
6239,COVID-19 Drive-Thru Testing - Walmart Parking Lot,4601 Ramsey St,Fayetteville,Walmart & eTrueNorth,Private,800-635-8611,http://www.doineedacovid19test.com/,"Mon, Wed, Fri 7 a.m. - 9 a.m.","All sites use a self-administered nasal swab test that allows those being tested to swab their own nose onsite while in their vehicles, observed by a trained Walmart pharmacist to ensure the sample is taken correctly, and drop the sealed sample into a container on their way out of the drive-thru site.",Closed,Yes,Yes,No,screening and testing,No,Required,https://covid19.ncdhhs.gov/,NC,Cumberland,molecular,Outdoor
6240,Albemarle Regional Health Services - Currituck Co. Health Dept,2795 Caratoke Hwy,Currituck,Albemarle Regional Health Services,,(252) 232-2271,https://www.arhs-nc.org/,,Please call for more information about COVID-19 testing.,Open,,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Currituck,molecular,Clinic
6241,Beach Medical Care,"4917 S. Croatan Hwy, Unit 1B",Nags Head,,,252-261-4187,http://bmchealthcare.com/,"MONDAY-FRIDAY 8a-5:30p, CLOSED Sat/Sun",Call for screening & appointment,Open,No,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Dare,molecular,Clinic
6242,Surf Pediatrics and Medicine,400 S. Croatan Hwy,Kill Devil Hills,,,252-449-5200,https://ehr.wrshealth.com/live/patient_v2/index.php?id=983283,Mon-Thurs: 8:00 AM - 7:00 PM Fri: 8:00 AM - 5:00 PM,Screening current patients and testing when a patient is determined to fit the criteria set forth by the CDC.,Testing Restricted,No,Yes,No,screening and testing,Yes,Available,https://covid19.ncdhhs.gov/,NC,Dare,molecular,Clinic
6243,The Outer Banks Hospital Urgent Care Center - Kitty Hawk,5112 N. Croatan Hwy,Kitty Hawk,The Outer Banks Hospital and Medical Group,Private,252-449-7474,https://www.theouterbankshospital.com/Locations/Urgent-Care-Center-Kitty-Hawk,8:30am - 7:30pm every day,"Medical providers in Dare County are only testing people who meet testing criteria of a fever of 100.4 or greater, cough and difficulty breathing. These individuals should call ahead to their provider or urgent care before going to the medical facility.",Open,,Yes,No,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Dare,molecular,Urgent Care
6244,Davie Medical Center,329 NC Hwy. 801 N,Bermuda Run,Wake Forest Baptist Health,Non Profit,(336) 702-6843,https://www1.wakehealth.edu/Davie-Medical-Center/,,"Call your primary care provider. If you do not have a primary care provider, call our hotline 336-70-COVID to receive nurse advice.",Open,No,Yes,Yes,screening and testing,Yes,Available,https://covid19.ncdhhs.gov/,NC,Davie,not specified,Medical Center
6245,Avance Care,"1821 Martin Luther King Jr. Pkwy., Durham, NC 27707",Durham,,,(919) 748-4990,www.avancecare.com/covid-19,"Monday-Friday: 7:30 AM to 7:00 PM, Weekends: 9:00 AM to 3:00 PM",Avance Care is offering curbside COVID-19 testing at all of our 15 locations. All testing is administered by a trusted healthcare professional and is 100% covered by most insurance providers. Get prescreened via telehealth by a doctor today to see if COVID-19 testing is indicated.,Open,Yes,Yes,No,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Durham,molecular and antibody,
6246,Duke Primary CareCroasdaile,"1821 Hillandale Road, Suite 24B",Durham,Duke Health,Non Profit,919-328-3980,https://www.dukehealth.org/treatments/urgent-care,8 am to 8 pm daily,Call ahead for appointment,Open,No,Yes,No,screening and testing,Yes,Available,https://covid19.ncdhhs.gov/,NC,Durham,molecular,Urgent Care
6247,Duke Regional Hospital,3643 N. Roxboro Street,Durham,Duke Health,Non Profit,,https://www.dukehealth.org/covid-19-update,,Testing Patients only. Look on website for list of urgent care clinics providing testing.,Testing Restricted,No,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Durham,molecular,Hospital
6248,Walgreens,3798 Guess Rd,Durham,Walgreens,Private,none,http://walgreens.com/COVID19testing,,Book a virtual appointment online for a screening,Open,Yes,Yes,No,screening and testing,Yes,Required,https://covid19.ncdhhs.gov/,NC,Durham,molecular,Retail
6249,COVID-19 Drive-Thru Testing - Walmart Parking Lot,110 River Oaks Dr,Tarboro,Walmart & eTrueNorth,Private,800-635-8611,https://www.doineedacovid19test.com/,by appointment only,"All sites use a self-administered nasal swab test that allows those being tested to swab their own nose onsite while in their vehicles, observed by a trained Walmart pharmacist to ensure the sample is taken correctly, and drop the sealed sample into a container on their way out of the drive-thru site.",Closed,Yes,Yes,No,screening and testing,No,,https://covid19.ncdhhs.gov/,NC,Edgecombe,molecular,Outdoor
6250,Novant Health - Waughtown,656 East Monmouth St,Winston-Salem,Novant Health,Private,1-877-9NOVANT,https://care.novanthealth.org/coronavirus/,"Monday to Friday, 8 a.m. to 8 p.m., and weekends 9 a.m. to 5 p.m.","If you are concerned about coronavirus symptoms and don't have a primary care doctor, call our helpline to determine your next steps.",Open,,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Forsyth,molecular,Clinic
6251,Novant Health GoHealth Urgent Care - Clemmons,3163 Gammon Lane,Clemmons,Novant Health,Private,1-877-9NOVANT,https://www.novanthealth.org/home/services/urgent--walk-in-care/novant-health-gohealth-urgent-care,"Monday to Friday, 8 a.m. to 8 p.m., and weekends 9 a.m. to 5 p.m.","If you are concerned about coronavirus symptoms and don't have a primary care doctor, call our helpline to determine your next steps.",Open,,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Forsyth,molecular,Urgent Care
6252,Novant Health GoHealth Urgent Care - Kernersville,"794 S. Main Street, Suite B",Kernersville,Novant Health,Private,1-877-9NOVANT,https://www.novanthealth.org/home/services/urgent--walk-in-care/novant-health-gohealth-urgent-care,"Monday to Friday, 8 a.m. to 8 p.m., and weekends 9 a.m. to 5 p.m.","If you are concerned about coronavirus symptoms and don't have a primary care doctor, call our helpline to determine your next steps.",Open,,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Forsyth,molecular,Urgent Care
6253,Novant Health GoHealthUrgent Care - Hanes Square,105 Hanes Square Circle,Winston-Salem,Novant Health,Private,1-877-9NOVANT,https://www.novanthealth.org/home/services/urgent--walk-in-care/novant-health-gohealth-urgent-care,"Monday to Friday, 8 a.m. to 8 p.m., and weekends 9 a.m. to 5 p.m.","If you are concerned about coronavirus symptoms and don't have a primary care doctor, call our helpline to determine your next steps.",Open,,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Forsyth,molecular,Urgent Care
6254,Novant Health GoHealthUrgent Care - North Point,7811 North Point Blvd,Winston-Salem,Novant Health,Private,1-877-9NOVANT,https://www.novanthealth.org/home/services/urgent--walk-in-care/novant-health-gohealth-urgent-care,"Monday to Friday, 8 a.m. to 8 p.m., and weekends 9 a.m. to 5 p.m.","If you are concerned about coronavirus symptoms and don't have a primary care doctor, call our helpline to determine your next steps.",Open,,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Forsyth,molecular,Urgent Care
6255,Avance Care - Wake Forest,"1964 South Main Street, Wake Forest, NC 27587",Wake Forest,Avance Care,,(919) 554-0177,www.avancecare.com/covid-19,"Monday-Friday: 7:30 AM to 7:00 PM, Weekends: 9:00 AM to 3:00 PM",Avance Care is offering curbside COVID-19 testing at all of our 15 locations. All testing is administered by a trusted healthcare professional and is 100% covered by most insurance providers. Get prescreened via telehealth by a doctor today to see if COVID-19 testing is indicated.,Open,Yes,Yes,,screening and testing,Yes,Available,https://covid19.ncdhhs.gov/,NC,Franklin,molecular and antibody,Clinic
6256,Albemarle Regional Health Services - Gates Co. Health Dept.,29 Medical Center Road,Gatesville,Albemarle Regional Health Services,,(252) 357-1380,https://www.arhs-nc.org/,,Please call for more information about COVID-19 testing.,Open,,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Gates,molecular,Clinic
6257,City of High Point Parking Deck (Harris Teeter),120 West Commerce Ave.,High Point,,,None,www.harristeeter.com/covidtesting,,"To protect the health and well-being of our communities and reduce the spread of COVID-19, Harris Teeter is proud to partner with The Kroger Co. and The Little Clinic to offer drive-thru COVID-19 testing at select locations.",Open,Yes,Yes,,screening and testing,Yes,Required,https://covid19.ncdhhs.gov/,NC,Guilford,molecular,Outdoor
6258,Halifax County Health Department,19 N Dobbs St,Halifax,,County,252-583-5021,https://www.halifaxnc.com/182/Health-Department,,Call for an appointment. By appointment onlye,Open,No,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Halifax,,Public Health Department
6259,Albemarle Regional Health Services - Hertford Co. Health Dept.,828 S Academy Street,Ahoskie,Albemarle Regional Health Services,,(252) 332-6650,https://www.arhs-nc.org/,,Please call for more information about COVID-19 testing.,Open,,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Hertford,molecular,Clinic
6260,Don Steed Elementary School (Harris Teeter),800 Philippi Church Rd.,Raeford,The Little Clinic Inc,Private,none,www.harristeeter.com/covidtesting,,Go to website & fill out a screening form for an appointment,Open,Yes,Yes,No,screening and testing,No,Available,https://covid19.ncdhhs.gov/,NC,Hoke,molecular,Non-medical Facility
6261,FirstHealth Convenient Care - Raeford,4565 Fayetteville Road,Raeford,FirstHealth of the Carolinas,Non Profit,(910) 878-5100,https://www.firsthealth.org/lifestyle/news-events/2020/3/coronavirus-resources,"Monday - Sunday, 8 a.m. to 8 p.m.",,Open,,Yes,No,screening and testing,,Available,https://covid19.ncdhhs.gov/,NC,Hoke,molecular,Urgent Care
6262,Engelhard Medical Center,"33270 US-264, Engelhard, NC 27824",Engelhard,,Non Profit,(252) 925-7000,https://engelhardmedicalcenter.org/,M-F 8:00 AM to 12:00 PM AND 1:00 to 5:00 PM,Call for screening & instructions,Open,No,Yes,Yes,screening and testing,Yes,,http://hydehealth.com/,NC,Hyde,molecular,Medical Center
6263,Hyde County Health Department,"1151 Main St, Swanquarter, NC 27885",Swan Quarter,,County,(252) 926-4399,http://hydehealth.com/,M-F 8AM to 5PM,Call ahead for appointment,Open,No,Yes,Yes,testing only,Yes,No,http://hydehealth.com/,NC,Hyde,molecular,Public Health Department
6264,Ocracoke Health Center,305 Back Rd,Ocracoke,,,(252) 928-1511,https://ocracokehealthcenter.org/,Monday – Friday: 8 am – 12 pm and 1 pm – 5 pm,Call for an appointment,Open,No,Yes,,screening and testing,Yes,Available,https://covid19.ncdhhs.gov/,NC,Hyde,molecular,Clinic
6265,Iredell Health System,557 Brookdale Drive,Statesville,Iredell Health System,Non Profit,704.873.5661,www.iredellhealth.org/patients-and-visitors/coronavirus-covid-19,,"Iredell Health System offers COVID-19 testing on a limited basis for individuals who meet specific criteria. If you have been exposed to someone with COVID-19 or suspect you may have COVID-19, please contact your primary care provider. As always, individuals experiencing medical emergencies should seek immediate medical care. Our Emergency Department is prepared to care for you in a safe environment.",Open,,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Iredell,molecular,Medical Center
6266,Kintegra Family Medicine (Formerly Statesville Family Medicine),1022 Shelton Avenue,Statesville,Kintegra Family Medicine,Non Profit,(704) 838-1234,https://www.kintegra.org/kintegra-family-medicine-statesville/,,Call the office for testing instructions,Open,,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Iredell,molecular,Medical Center
6267,Piedmont HealthCare Urgent Care - Statesville,700 Sullivan Road,Statesville,Piedmont Health Care,Private,833-463-6742,https://www.co.iredell.nc.us/1383/Coronavirus-COVID-19,,Call the hotline for a screening and appointment.,Open,,Yes,,screening and testing,Yes,Available,https://covid19.ncdhhs.gov/,NC,Iredell,molecular,Urgent Care
6268,Piedmont HealthCare Urgent Care - Mooresville,125 Days Inn Dr,Mooresville,Piedmont Health Care,Private,833-463-6741,https://www.co.iredell.nc.us/1383/Coronavirus-COVID-19,,"f you have any COVID-19 symptoms (fever, cough, or trouble breathing), you are at risk for having the Coronavirus. If you suspect the virus, you should wear a protective mask to ensure the virus does not spread to those around you and quarantine at home as much as possible. You should be assessed by a medical professional. Please call 833-INFO-PHC (833-463-6742) for an over-the-phone screening to determine what next steps you should take.",Open,,Yes,,screening and testing,Yes,Available,https://covid19.ncdhhs.gov/,NC,Iredell,molecular,Urgent Care
6269,COVID-19 Drive-Thru Testing - Walmart Parking Lot,210 Walmart Plaza,Sylva,Walmart & eTrueNorth,Private,800-635-8611,http://www.doineedacovid19test.com/,"Mon, Wed, Fri 7 a.m. - 9 a.m.","All sites use a self-administered nasal swab test that allows those being tested to swab their own nose onsite while in their vehicles, observed by a trained Walmart pharmacist to ensure the sample is taken correctly, and drop the sealed sample into a container on their way out of the drive-thru site.",Open,Yes,Yes,No,screening and testing,No,,https://covid19.ncdhhs.gov/,NC,Jackson,molecular,Outdoor
6270,Avance Care,"2076 NC Hwy 42 W, Suite 230, Clayton, NC 27520",Clayton,,,919-553-5711,www.avancecare.com/covid-19,"Monday-Friday: 7:30 AM to 7:00 PM, Weekends: 9:00 AM to 3:00 PM",Avance Care is offering curbside COVID-19 testing at all of our 15 locations. All testing is administered by a trusted healthcare professional and is 100% covered by most insurance providers. Get prescreened via telehealth by a doctor today to see if COVID-19 testing is indicated.,Open,Yes,Yes,No,screening and testing,Yes,Available,https://covid19.ncdhhs.gov/,NC,Johnston,molecular and antibody,
6271,Carolina East InternalMedicine - Pollocksville (testing current patients),137 Medical Lane,Pollocksville,Carolina East Health System,Private,252-633-1010,https://www.carolinaeasthealth.com/locations/carolinaeast-internal-medicine-pollocksville/,,Testing Current patients only!,Open,,Yes,,screening and testing,Yes,Available,https://covid19.ncdhhs.gov/,NC,Jones,molecular,Clinic
6272,Coastal Children's Clinic - Pediatrics (testing current patients),1004 Jenkins Avenue,Maysville,Costal Childern's Clinic,Private,910-743-2022,http://www.coastalchildrens.com/maysville.html,Monday - Friday 8:00 am to 5:00 pm,Testing for current patients only!,Open,,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Jones,molecular,Clinic
6273,FirstHealth Convenient Care - Sanford-Lee Campus,2919 Beechtree Drive,Sanford,FirstHealth of the Carolinas,Non Profit,(919) 897-2260,https://www.firsthealth.org/lifestyle/news-events/2020/3/coronavirus-resources,Monday - Sunday 8 a.m. to 8 p.m.,,Open,,Yes,No,screening and testing,,Available,https://covid19.ncdhhs.gov/,NC,Lee,molecular,Urgent Care
6274,FirstHealth Convenient Care - Sanford-Tramway,1602 Westover Drive,Sanford,FirstHealth of the Carolinas,Non Profit,(919) 897-2250,https://www.firsthealth.org/lifestyle/news-events/2020/3/coronavirus-resources,"Monday - Sunday, 8 a.m. to 8 p.m.",,Open,,Yes,No,screening and testing,,Available,https://covid19.ncdhhs.gov/,NC,Lee,molecular,Urgent Care
6275,Lenoir County Health Department,201 N. McLewean Street,Kinston,,County,(252) 526-4200,http://www.co.lenoir.nc.us/health.html,M-F 7:30 AM to 4:30 PM,Recommend to see Primary Care doctor first.,Open,No,Yes,No,testing only,Yes,No,http://www.co.lenoir.nc.us/health.html,NC,Lenoir,molecular,Public Health Department
6276,Lincoln County Health Department,200 Gamble Dr,Lincolnton,,Municipal,704-874-3316,https://www.lincolncounty.org/index.aspx?nid=117,July 2nd 10 am to 2 pm,"Kintegra Health is offering Drive-Up COVID-19 testing in Lincolnton on Thursday,
July 2 from 10am – 2pm at the following location:",Closed,Yes,Yes,,testing only,No,,https://covid19.ncdhhs.gov/,NC,Lincoln,molecular,Public Health Department
6277,Novant Health GoHealthUrgent Care - Denver,"269 Gillman Road, Suite 100",Denver,Novant Health,Private,1-877-9NOVANT,https://www.novanthealth.org/home/services/urgent--walk-in-care/novant-health-gohealth-urgent-care,"Monday to Friday, 8 a.m. to 8 p.m., and weekends 9 a.m. to 5 p.m.","If you are concerned about coronavirus symptoms and don't have a primary care doctor, call our helpline to determine your next steps.",Open,,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Lincoln,molecular,Urgent Care
6278,Macon County Public Health,"1830 Lakeside Dr, Franklin, NC",Franklin,,,(828) 349-2517,http://maconnc.org/covid-19.html,"Monday through Friday, 8:00 am to 5:00 pm","If you think you may have COVID-19, please call the Macon County COVID-19 Call Center at (828) 349-2517. The call center is open Monday through Friday, 8:00 am to 5:00 pm. If you would like more information regarding COVID-19 or it is after call center hours, please call the state call center at (866) 462-3821.",Open,No,Yes,No,screening and testing,Yes,No,https://covid19.ncdhhs.gov/,NC,Macon,molecular,Clinic
6279,Madison County Health Department,493 Medical Park Dr,Marshall,Madison County Health Department,County,8286490755,https://www.madisoncountyhealth.org/,M - F 9am - 5pm,Bring ID and Health Insurance Information.,Closed,No,No,No,screening and testing,No,No,https://www.madisoncountyhealth.org/,NC,Madison,not specified,Public Health Department
6280,Atrium Health Levine Children's Urgent Care - Cotswold,231 S. Sharon Amity Road,Charlotte,Atrium Health,Non Profit,704-468-8888,https://atriumhealth.org/medical-services/get-care-now#virtualvisit,,Call or fill out the online assessment for a virtual appointment,Open,,Yes,No,screening and testing,Yes,Available,https://covid19.ncdhhs.gov/,NC,Mecklenburg,molecular,Urgent Care
6281,Atrium Health Urgent Care - Mountain Island,"10210 Couloak Drive, Suite E",Charlotte,Atrium Health,,704-468-8888,https://atriumhealth.org/medical-services/get-care-now#virtualvisit,,"Testing for COVID-19 is done based on guidelines set by the CDC, and only a healthcare provider can determine if you meet the criteria for testing. If a patient meets these criteria and needs to be tested, our Infection Prevention team will coordinate. If you believe you may have COVID-19, complete a free COVID-19 assessment to review your symptoms, find the best care and learn if testing is appropriate.",Open,,Yes,No,screening and testing,Yes,Available,https://covid19.ncdhhs.gov/,NC,Mecklenburg,molecular,Urgent Care
6282,Atrium Health Urgent Care - University City,"9325 J.W. Clay Blvd., Suite 221",Charlotte,Atrium Health,,704-468-8888,https://atriumhealth.org/medical-services/get-care-now#virtualvisit,,"Testing for COVID-19 is done based on guidelines set by the CDC, and only a healthcare provider can determine if you meet the criteria for testing. If a patient meets these criteria and needs to be tested, our Infection Prevention team will coordinate. If you believe you may have COVID-19, complete a free COVID-19 assessment to review your symptoms, find the best care and learn if testing is appropriate.",Open,,Yes,No,screening and testing,Yes,Available,https://covid19.ncdhhs.gov/,NC,Mecklenburg,molecular,Urgent Care
6283,Atrium Health Urgent Care - Morehead,1426 E. Morehead Street,Charlotte,Atrium Health,,704-468-8888,https://atriumhealth.org/medical-services/get-care-now#virtualvisit,,"Testing for COVID-19 is done based on guidelines set by the CDC, and only a healthcare provider can determine if you meet the criteria for testing. If a patient meets these criteria and needs to be tested, our Infection Prevention team will coordinate. If you believe you may have COVID-19, complete a free COVID-19 assessment to review your symptoms, find the best care and learn if testing is appropriate.",Open,,Yes,No,screening and testing,Yes,Available,https://covid19.ncdhhs.gov/,NC,Mecklenburg,molecular,Urgent Care
6284,Atrium Health Urgent Care - SouthPark,"4525 Cameron Valley Parkway, Suite 1500",Charlotte,Atrium Health,,704-468-8888,https://atriumhealth.org/medical-services/get-care-now#virtualvisit,,"Testing for COVID-19 is done based on guidelines set by the CDC, and only a healthcare provider can determine if you meet the criteria for testing. If a patient meets these criteria and needs to be tested, our Infection Prevention team will coordinate. If you believe you may have COVID-19, complete a free COVID-19 assessment to review your symptoms, find the best care and learn if testing is appropriate.",Open,,Yes,No,screening and testing,Yes,Available,https://covid19.ncdhhs.gov/,NC,Mecklenburg,molecular,Urgent Care
6285,Atrium Health Urgent Care - Rea Farms,"11115 Golf Links Drive, Suite B",Charlotte,Atrium Health,Private,704-468-8888,https://atriumhealth.org/medical-services/get-care-now#virtualvisit,8:00 AM - 8:00 PM daily,"Testing for COVID-19 is done based on guidelines set by the CDC, and only a healthcare provider can determine if you meet the criteria for testing. If a patient meets these criteria and needs to be tested, our Infection Prevention team will coordinate. If you believe you may have COVID-19, complete a free COVID-19 assessment to review your symptoms, find the best care and learn if testing is appropriate.",Open,,Yes,No,screening and testing,Yes,Available,https://covid19.ncdhhs.gov/,NC,Mecklenburg,molecular,Urgent Care
6286,Atrium Health Urgent Care-Ballantyne,14214 Ballantyne Lake Road,Charlotte,Atrium Health,,704-468-8888,https://atriumhealth.org/medical-services/get-care-now#virtualvisit,,"Testing for COVID-19 is done based on guidelines set by the CDC, and only a healthcare provider can determine if you meet the criteria for testing. If a patient meets these criteria and needs to be tested, our Infection Prevention team will coordinate. If you believe you may have COVID-19, complete a free COVID-19 assessment to review your symptoms, find the best care and learn if testing is appropriate.",Open,,Yes,No,screening and testing,Yes,Available,https://covid19.ncdhhs.gov/,NC,Mecklenburg,molecular,Urgent Care
6287,Carolinas HealthCare Urgent Care - Steele Creek,9332 S. Tryon Street,Charlotte,Atrium Health,Non Profit,704-468-8888,https://atriumhealth.org/medical-services/get-care-now#virtualvisit,,Call or use the online assessment tool to schedule a virtual appointment.,Open,,Yes,,screening and testing,Yes,Required,https://covid19.ncdhhs.gov/,NC,Mecklenburg,molecular,Urgent Care
6288,Carolinas HealthCare Urgent Care - Eastland,5717 Albemarle Road,Charlotte,,Non Profit,704-468-8888,https://atriumhealth.org/medical-services/get-care-now#virtualvisit,,Fill out the online assessment or call for a telehealth appoitnment,Open,No,Yes,No,screening and testing,Yes,Required,https://covid19.ncdhhs.gov/,NC,Mecklenburg,molecular,Urgent Care
6289,Carolinas HealthCare UrgentCare - Arboretum,"7810 Providence Road, Suite 102",Charlotte,,Non Profit,704-468-8888,https://atriumhealth.org/medical-services/get-care-now#virtualvisit,,Call or fill out the online assessment tool for a virtual appointment,Open,,Yes,No,screening and testing,Yes,Required,https://covid19.ncdhhs.gov/,NC,Mecklenburg,molecular,Urgent Care
6290,Novant Health - EastCharlotte,5501 Executive Center Drive,Charlotte,Novant Health,Private,1-877-9NOVANT,https://www.mecknc.gov/news/Documents/COVIDTesting_web041520.pdf,"Monday to Friday, 8 a.m. to 8 p.m., and weekends 9 a.m. to 5 p.m.","If you are concerned about coronavirus symptoms and don't have a primary care doctor, call our helpline to determine your next steps.",Open,,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Mecklenburg,molecular,Clinic
6291,Novant Health - Michael Jordan Clinic,3149 Freedom Drive,Charlotte,Novant Health,Private,1-877-9NOVANT,https://www.mecknc.gov/news/Documents/COVIDTesting_web041520.pdf,"Monday to Friday, 8 a.m. to 8 p.m., and weekends 9 a.m. to 5 p.m.","If you are concerned about coronavirus symptoms and don't have a primary care doctor, call our helpline to determine your next steps.",Open,,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Mecklenburg,molecular,Clinic
6292,Novant Health - West Charlotte,2845 Beatties Ford Road,Charlotte,Novant Health,Private,1-877-9NOVANT,https://www.mecknc.gov/news/Documents/COVIDTesting_web041520.pdf,"Monday to Friday, 8 a.m. to 8 p.m., and weekends 9 a.m. to 5 p.m.","If you are concerned about coronavirus symptoms and don't have a primary care doctor, call our helpline to determine your next steps.",Open,,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Mecklenburg,molecular,Clinic
6293,Novant Health GoHealth Urgent Care - Ballantyne,"15235 John J Delaney Drive, Suite B",Charlotte,Novant Health,Private,1-877-9NOVANT,https://www.novanthealth.org/home/services/urgent--walk-in-care/novant-health-gohealth-urgent-care,"Monday to Friday, 8 a.m. to 8 p.m., and weekends 9 a.m. to 5 p.m.","If you are concerned about coronavirus symptoms and don't have a primary care doctor, call our helpline to determine your next steps.",Open,,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Mecklenburg,molecular,Urgent Care
6294,Novant Health GoHealth Urgent Care - Huntersville,"9121 Sam Furr Road, Suite 108",Huntersville,Novant Health,Private,1-877-9NOVANT,https://www.novanthealth.org/home/services/urgent--walk-in-care/novant-health-gohealth-urgent-care,"Monday to Friday, 8 a.m. to 8 p.m., and weekends 9 a.m. to 5 p.m.","If you are concerned about coronavirus symptoms and don't have a primary care doctor, call our helpline to determine your next steps.",Open,,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Mecklenburg,molecular,Urgent Care
6295,Novant Health GoHealth Urgent Care - Matthews,"9600 E. Independence Blvd., Suite B",Matthews,Novant Health,Private,1-877-9NOVANT,https://www.novanthealth.org/home/services/urgent--walk-in-care/novant-health-gohealth-urgent-care,"Monday to Friday, 8 a.m. to 8 p.m., and weekends 9 a.m. to 5 p.m.","If you are concerned about coronavirus symptoms and don't have a primary care doctor, call our helpline to determine your next steps.",Open,,Yes,,screening and testing,Yes,,https://covid19.ncdhhs.gov/,NC,Mecklenburg,molecular,Urgent Care
